"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: B-negative",0.996330275229358,0.994036697247706,0.976618705035971,0.999077916090364,0.2,0.199266055045872,0.204036697247706,0.995183486238532
"Class: B-positive",0.957798165137615,0.977064220183486,0.912587412587413,0.989317231769624,0.2,0.191559633027523,0.209908256880734,0.967431192660551
"Class: Dual",1,1,1,1,0.2,0.2,0.2,1
"Class: T-negative",0.880733944954128,0.978440366972477,0.910815939278937,0.970427661510464,0.2,0.176146788990826,0.193394495412844,0.929587155963303
"Class: T-positive",0.856880733944954,0.973394495412844,0.88952380952381,0.964545454545455,0.2,0.171376146788991,0.192660550458716,0.915137614678899
