"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: B-negative",0.994495412844037,0.995412844036697,0.981884057971015,0.998619420156466,0.2,0.198899082568807,0.20256880733945,0.994954128440367
"Class: B-positive",0.95045871559633,0.976146788990826,0.908771929824562,0.987470997679814,0.2,0.190091743119266,0.209174311926606,0.963302752293578
"Class: Dual",1,0.99954128440367,0.998168498168498,1,0.2,0.2,0.200366972477064,0.999770642201835
"Class: T-negative",0.875229357798165,0.978440366972477,0.91030534351145,0.969104952294412,0.2,0.175045871559633,0.192293577981651,0.926834862385321
"Class: T-positive",0.862385321100917,0.971100917431193,0.881801125703565,0.965784671532847,0.2,0.172477064220183,0.195596330275229,0.916743119266055
