"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: B-negative",0.996330275229358,0.996788990825688,0.987272727272727,0.999080459770115,0.2,0.199266055045872,0.201834862385321,0.996559633027523
"Class: B-positive",0.963302752293578,0.977522935779817,0.914634146341464,0.9907019990702,0.2,0.192660550458716,0.210642201834862,0.970412844036697
"Class: Dual",1,0.99954128440367,0.998168498168498,1,0.2,0.2,0.200366972477064,0.999770642201835
"Class: T-negative",0.902752293577982,0.980733944954128,0.921348314606742,0.975810132359653,0.2,0.180550458715596,0.195963302752294,0.941743119266055
"Class: T-positive",0.864220183486239,0.977064220183486,0.904030710172745,0.966424682395644,0.2,0.172844036697248,0.191192660550459,0.920642201834862
