"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: B-negative",0.994495412844037,0.997247706422018,0.989051094890511,0.998621956821314,0.2,0.198899082568807,0.201100917431193,0.995871559633028
"Class: B-positive",0.96697247706422,0.975688073394495,0.908620689655172,0.991608391608392,0.2,0.193394495412844,0.212844036697248,0.971330275229358
"Class: Dual",1,0.99954128440367,0.998168498168498,1,0.2,0.2,0.200366972477064,0.999770642201835
"Class: T-negative",0.891743119266055,0.98302752293578,0.92925430210325,0.973206176203451,0.2,0.178348623853211,0.191926605504587,0.937385321100917
"Class: T-positive",0.867889908256881,0.974770642201835,0.895833333333333,0.967228038233955,0.2,0.173577981651376,0.193761467889908,0.921330275229358
