"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: B-negative",1,0.995412844036697,0.981981981981982,1,0.2,0.2,0.203669724770642,0.997706422018349
"Class: B-positive",0.954128440366973,0.979357798165138,0.920353982300885,0.988425925925926,0.2,0.190825688073395,0.207339449541284,0.966743119266055
"Class: Dual",1,0.99954128440367,0.998168498168498,1,0.2,0.2,0.200366972477064,0.999770642201835
"Class: T-negative",0.904587155963303,0.979357798165138,0.91635687732342,0.976223136716964,0.2,0.180917431192661,0.19743119266055,0.94197247706422
"Class: T-positive",0.86605504587156,0.977522935779817,0.90595009596929,0.966878402903811,0.2,0.173211009174312,0.191192660550459,0.921788990825688
