"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: B-negative",0.996330275229358,0.994495412844037,0.978378378378379,0.999078341013825,0.2,0.199266055045872,0.203669724770642,0.995412844036697
"Class: B-positive",0.948623853211009,0.978440366972477,0.916666666666667,0.987043035631652,0.2,0.189724770642202,0.20697247706422,0.963532110091743
"Class: Dual",1,0.99954128440367,0.998168498168498,1,0.2,0.2,0.200366972477064,0.999770642201835
"Class: T-negative",0.886238532110092,0.977522935779817,0.907894736842105,0.971728226174191,0.2,0.177247706422018,0.195229357798165,0.931880733944954
"Class: T-positive",0.855045871559633,0.971559633027523,0.882575757575757,0.964041875284479,0.2,0.171009174311927,0.193761467889908,0.913302752293578
