"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: B-negative",0.992660550458716,0.998165137614679,0.992660550458716,0.998165137614679,0.2,0.198532110091743,0.2,0.995412844036697
"Class: B-positive",0.948623853211009,0.976605504587156,0.910211267605634,0.987019007881317,0.2,0.189724770642202,0.208440366972477,0.962614678899083
"Class: Dual",1,0.99954128440367,0.998168498168498,1,0.2,0.2,0.200366972477064,0.999770642201835
"Class: T-negative",0.888073394495413,0.972935779816514,0.89134438305709,0.972043996333639,0.2,0.177614678899083,0.199266055045872,0.930504587155963
"Class: T-positive",0.853211009174312,0.973394495412844,0.889101338432122,0.963669391462307,0.2,0.170642201834862,0.191926605504587,0.913302752293578
