"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: B-negative",0.992660550458716,0.994036697247706,0.976534296028881,0.998157531091663,0.2,0.198532110091743,0.203302752293578,0.993348623853211
"Class: B-positive",0.959633027522936,0.977981651376147,0.915936952714536,0.989786443825441,0.2,0.191926605504587,0.20954128440367,0.968807339449541
"Class: Dual",1,0.99954128440367,0.998168498168498,1,0.2,0.2,0.200366972477064,0.999770642201835
"Class: T-negative",0.880733944954128,0.978899082568807,0.91254752851711,0.970441109595271,0.2,0.176146788990826,0.19302752293578,0.929816513761468
"Class: T-positive",0.860550458715596,0.972935779816514,0.888257575757576,0.965407373691397,0.2,0.172110091743119,0.193761467889908,0.916743119266055
