"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: B-negative",1,0.996788990825688,0.98731884057971,1,0.2,0.2,0.20256880733945,0.998394495412844
"Class: B-positive",0.954128440366973,0.978440366972477,0.91710758377425,0.988415199258573,0.2,0.190825688073395,0.208073394495413,0.966284403669725
"Class: Dual",1,0.99954128440367,0.998168498168498,1,0.2,0.2,0.200366972477064,0.999770642201835
"Class: T-negative",0.899082568807339,0.980733944954128,0.921052631578947,0.974920200638395,0.2,0.179816513761468,0.195229357798165,0.939908256880734
"Class: T-positive",0.871559633027523,0.975688073394495,0.899621212121212,0.968138370505234,0.2,0.174311926605505,0.193761467889908,0.923623853211009
