"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: B-negative",1,0.995871559633028,0.983754512635379,1,0.2,0.2,0.203302752293578,0.997935779816514
"Class: B-positive",0.963302752293578,0.977981651376147,0.916230366492147,0.990706319702602,0.2,0.192660550458716,0.210275229357798,0.970642201834862
"Class: Dual",1,0.99954128440367,0.998168498168498,1,0.2,0.2,0.200366972477064,0.999770642201835
"Class: T-negative",0.902752293577982,0.986238532110092,0.942528735632184,0.975941897412619,0.2,0.180550458715596,0.191559633027523,0.944495412844037
"Class: T-positive",0.884403669724771,0.977981651376147,0.909433962264151,0.97129840546697,0.2,0.176880733944954,0.194495412844037,0.931192660550459
