"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: B-negative",1,0.997706422018349,0.990909090909091,1,0.2,0.2,0.201834862385321,0.998853211009174
"Class: B-positive",0.965137614678899,0.979357798165138,0.921190893169877,0.991179201485608,0.2,0.19302752293578,0.20954128440367,0.972247706422018
"Class: Dual",1,0.99954128440367,0.998168498168498,1,0.2,0.2,0.200366972477064,0.999770642201835
"Class: T-negative",0.906422018348624,0.986697247706422,0.944550669216061,0.976839237057221,0.2,0.181284403669725,0.191926605504587,0.946559633027523
"Class: T-positive",0.893577981651376,0.977981651376147,0.910280373831776,0.97351598173516,0.2,0.178715596330275,0.196330275229358,0.935779816513761
