"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: B-negative",1,0.996330275229358,0.985533453887884,1,0.2,0.2,0.202935779816514,0.998165137614679
"Class: B-positive",0.968807339449541,0.980733944954128,0.926315789473684,0.992111368909513,0.2,0.193761467889908,0.209174311926606,0.974770642201835
"Class: Dual",1,1,1,1,0.2,0.2,0.2,1
"Class: T-negative",0.910091743119266,0.985321100917431,0.939393939393939,0.977696859353664,0.2,0.182018348623853,0.193761467889908,0.947706422018349
"Class: T-positive",0.889908256880734,0.979816513761468,0.916824196597354,0.972677595628415,0.2,0.177981651376147,0.194128440366972,0.934862385321101
