"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: B-negative",0.998165137614679,0.995412844036697,0.981949458483755,0.999539382772916,0.2,0.199633027522936,0.203302752293578,0.996788990825688
"Class: B-positive",0.963302752293578,0.977522935779817,0.914634146341464,0.9907019990702,0.2,0.192660550458716,0.210642201834862,0.970412844036697
"Class: Dual",1,1,1,1,0.2,0.2,0.2,1
"Class: T-negative",0.891743119266055,0.982110091743119,0.925714285714286,0.973181818181818,0.2,0.178348623853211,0.192660550458716,0.936926605504587
"Class: T-positive",0.877064220183486,0.977522935779817,0.907020872865275,0.969517743403094,0.2,0.175412844036697,0.193394495412844,0.927293577981651
