"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: B-negative",1,0.995871559633028,0.983754512635379,1,0.2,0.2,0.203302752293578,0.997935779816514
"Class: B-positive",0.961467889908257,0.981192660550459,0.927433628318584,0.990277777777778,0.2,0.192293577981651,0.207339449541284,0.971330275229358
"Class: Dual",1,1,1,1,0.2,0.2,0.2,1
"Class: T-negative",0.919266055045872,0.985321100917431,0.939962476547842,0.97992700729927,0.2,0.183853211009174,0.195596330275229,0.952293577981651
"Class: T-positive",0.889908256880734,0.980275229357798,0.918560606060606,0.97269003186163,0.2,0.177981651376147,0.193761467889908,0.935091743119266
