"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: B-negative",1,0.996788990825688,0.98731884057971,1,0.2,0.2,0.20256880733945,0.998394495412844
"Class: B-positive",0.972477064220184,0.975688073394495,0.909090909090909,0.992997198879552,0.2,0.194495412844037,0.21394495412844,0.974082568807339
"Class: Dual",1,1,1,1,0.2,0.2,0.2,1
"Class: T-negative",0.902752293577982,0.98256880733945,0.928301886792453,0.975854214123007,0.2,0.180550458715596,0.194495412844037,0.942660550458716
"Class: T-positive",0.867889908256881,0.980733944954128,0.918446601941748,0.967420814479638,0.2,0.173577981651376,0.188990825688073,0.924311926605505
