"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: B-negative",1,0.994495412844037,0.978456014362657,1,0.2,0.2,0.204403669724771,0.997247706422018
"Class: B-positive",0.959633027522936,0.980275229357798,0.924028268551237,0.989810097267253,0.2,0.191926605504587,0.207706422018349,0.969954128440367
"Class: Dual",1,1,1,1,0.2,0.2,0.2,1
"Class: T-negative",0.88256880733945,0.985779816513761,0.939453125,0.971079981924989,0.2,0.17651376146789,0.187889908256881,0.934174311926605
"Class: T-positive",0.895412844036697,0.973853211009174,0.895412844036697,0.973853211009174,0.2,0.179082568807339,0.2,0.934633027522936
